Name,Status,Launch Service Provider,Rocket,Mission,Net,Pad
Titan II SLV | NOAA 17,Launch Successful,United States Air Force,Titan II SLV,NOAA 17,06/24/2002 2:23 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Soyuz U | Progress M-46,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz U,—,06/26/2002 1:36 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Delta 7425-9.5 | Contour,Launch Successful,United States Air Force,Delta 7425-9.5,Contour,07/03/2002 2:47 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Ariane 5 G | Stellat 5 & N-Star C,Launch Successful,Arianespace,Ariane 5 G,Stellat 5 & N-Star C,07/05/2002 7:22 p.m.,"Ariane Launch Area 3 | Guiana Space Centre, French Guiana"
Kosmos-3M | Strela-3 131 & 132,Launch Successful,Production Corporation Polyot,Kosmos-3M,Strela-3 131 & 132,07/08/2002 2:35 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation"
Proton-K/17S40 | Araks-N 2,Launch Successful,Khrunichev State Research and Production Space Center,Proton-K/17S40,Araks-N 2,07/25/2002 11:13 a.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas V 401 | Hot Bird 6,Launch Successful,Lockheed Martin,Atlas V 401,Hot Bird 6,08/21/2002 6:05 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA"
Proton-K/DM-2M | Echostar VIII,Launch Successful,Khrunichev State Research and Production Space Center,Proton-K/DM-2M,Echostar VIII,08/22/2002 1:15 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Ariane 5 G | Atlantic Bird 1 & Meteosat 8,Launch Successful,Arianespace,Ariane 5 G,Atlantic Bird 1 & Meteosat 8,08/28/2002 6:45 p.m.,"Ariane Launch Area 3 | Guiana Space Centre, French Guiana"
Ariane 44L | INTELSAT 906,Launch Successful,Lockheed Martin,Ariane 44L,INTELSAT 906,09/06/2002 2:44 a.m.,"Ariane Launch Area 2 | Guiana Space Centre, French Guiana"
H-IIA 2024 | USERS & DRTS,Launch Successful,Japan Aerospace Exploration Agency,H-IIA 2024,USERS & DRTS,09/10/2002 4:20 a.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan"
PSLV | KALPANA-1,Launch Successful,Indian Space Research Organization,PSLV,KALPANA-1,09/12/2002 6:23 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India"
Kaituozhe-1 | Hangtian Tsinghua 1-01,Launch Failure,China Aerospace Science and Technology Corporation,Kaituozhe-1,Hangtian Tsinghua 1-01,09/15/2002 6:30 a.m.,"Kaituozhe Launch Pad | Taiyuan Satellite Launch Center, People's Republic of China"
Atlas IIAS | Hispasat 1D,Launch Successful,Lockheed Martin,Atlas IIAS,Hispasat 1D,09/18/2002 6:04 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA"
Soyuz-FG | Progress M1-9,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz,—,09/25/2002 12:58 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos-3M | Nadezhda-M,Launch Successful,Production Corporation Polyot,Kosmos-3M,Nadezhda-M,09/26/2002 10:27 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation"
Space Shuttle Atlantis / OV-104 | STS-112,Launch Successful,United Space Alliance,Space Shuttle,STS-112,10/07/2002 3:45 p.m.,"Launch Complex 39B | Kennedy Space Center, FL, USA"
Soyuz-U-PVB | Foton-M No. 1,Launch Failure,Russian Space Forces,Soyuz-U-PVB,Foton-M No. 1,10/15/2002 2:20 p.m.,"43/3 (43L) | Plesetsk Cosmodrome, Russian Federation"
Proton-K/17S40 | Integral,Launch Successful,Khrunichev State Research and Production Space Center,Proton-K/17S40,Integral,10/17/2002 12:41 a.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Long March 4B | Zi Yuan-2 02 xing,Launch Successful,China Aerospace Science and Technology Corporation,Long March 4B,Zi Yuan-2 02 xing,10/26/2002 11:17 p.m.,"Launch Complex 7 | Taiyuan Satellite Launch Center, People's Republic of China"
Soyuz-FG | Soyuz TMA-1,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz,Soyuz TMA-1,10/29/2002 10:11 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
"Delta IV M+(4,2) | Eutelsat W5",Launch Successful,Boeing,"Delta IV M+(4,2)",Eutelsat W5,11/20/2002 5:39 p.m.,"Space Launch Complex 37B | Cape Canaveral, FL, USA"
Space Shuttle Endeavour / OV-105 | STS-113,Launch Successful,United Space Alliance,Space Shuttle,STS-113,11/22/2002 7:49 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA"
Proton-K/DM-2M | Astra 1K,Launch Failure,Khrunichev State Research and Production Space Center,Proton-K/DM-2M,Astra 1K,11/25/2002 6:04 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos-3M | AlSat-1,Launch Successful,Production Corporation Polyot,Kosmos-3M,AlSat-1,11/28/2002 1:07 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation"
Atlas IIA | TDRS 10,Launch Successful,Lockheed Martin,Atlas IIA,TDRS 10,12/04/2002 9:42 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA"
Ariane 5 ECA | Hot Bird 7 & Stentor,Launch Failure,Arianespace,Ariane 5 ECA,Hot Bird 7 & Stentor,12/11/2002 5:21 p.m.,"Ariane Launch Area 3 | Guiana Space Centre, French Guiana"
H-IIA 202 | Midori-2,Launch Successful,Japan Aerospace Exploration Agency,H-IIA 202,Midori-2,12/13/2002 8:31 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan"
Ariane 44L | NSS 6,Launch Successful,Arianespace,Ariane 44L,NSS 6,12/17/2002 6:04 p.m.,"Ariane Launch Area 2 | Guiana Space Centre, French Guiana"
Dnepr | AATiS-OSCAR-49,Launch Successful,ISC Kosmotras,Dnepr,AATiS-OSCAR-49,12/20/2002 noon,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan"
Molniya-M | US-K 82,Launch Successful,Progress Rocket Space Center,Molniya-M,US-K 82,12/24/2002 7:20 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation"
Proton-K/DM-2M | Uragan 80 to 82,Launch Successful,Khrunichev State Research and Production Space Center,Proton-K/DM-2M,Uragan 80 to 82,12/25/2002 2:37 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Long March 2F | Shenzhou-4,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2F,Shenzhou-4,12/29/2002 11:40 a.m.,"Launch Area 4 (SLS-1 / 921) | Jiuquan Satellite Launch Center, People's Republic of China"
Proton-M Briz-M | Nimiq 2,Launch Successful,Khrunichev State Research and Production Space Center,Proton-M Briz-M,Nimiq 2,12/29/2002 6:16 p.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan"
Titan II SLV | Coriolis,Launch Successful,United States Air Force,Titan II SLV,Coriolis,01/06/2003 9:19 a.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Delta II | Icesat,Launch Successful,United States Air Force,Delta II,Icesat,01/12/2003 7:45 p.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA"
Space Shuttle Columbia / OV-102 | STS-107,Launch Failure,United Space Alliance,Space Shuttle,STS-107,01/16/2003 10:39 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA"
Pegasus XL | Solar Radiation and Climate Experiment (SORCE),Launch Successful,Orbital Sciences Corporation,Pegasus XL,—,01/25/2003 3:13 p.m.,Cape Canaveral | Air launch to orbit
Delta II | GPS IIR-8,Launch Successful,United States Air Force,Delta II,GPS IIR-8,01/29/2003 1:06 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Soyuz U | Progress M-47,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz U,—,02/02/2003 7:59 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Ariane 44L | INTELSAT 907,Launch Successful,Arianespace,Ariane 44L,INTELSAT 907,02/15/2003 2 a.m.,"Ariane Launch Area 2 | Guiana Space Centre, French Guiana"
Delta IV M | DSCS III A-3,Launch Successful,United States Air Force,Delta IV M,DSCS III A-3,03/10/2003 7:59 p.m.,"Space Launch Complex 37B | Cape Canaveral, FL, USA"
H-IIA 2024 | IGS Radar 1 & IGS Optical 1,Launch Successful,Japan Aerospace Exploration Agency,H-IIA 2024,IGS Radar 1 & IGS Optical 1,03/27/2003 8:27 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan"
Delta II | GPS IIR-9,Launch Successful,United States Air Force,Delta II,GPS IIR-9,03/31/2003 5:09 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Molniya-M | Molniya-1T 92,Launch Successful,Progress Rocket Space Center,Molniya-M,Molniya-1T 92,04/01/2003 8:53 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation"
Titan IVB | Milstar 6,Launch Successful,United States Air Force,Titan IVB,Milstar 6,04/08/2003 9:43 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Ariane 5 G | INSAT-3A & Galaxy 12,Launch Successful,Arianespace,Ariane 5 G,INSAT-3A & Galaxy 12,04/09/2003 6:52 p.m.,"Ariane Launch Area 3 | Guiana Space Centre, French Guiana"
Atlas | Asiasat 4,Launch Successful,Lockheed Martin,Atlas IIIB,Asiasat 4,04/11/2003 8:47 p.m.,"Launch Complex 36B | Cape Canaveral, FL, USA"
Proton | US-KMO 6,Launch Successful,Khrunichev State Research and Production Space Center,Proton,US-KMO 6,04/24/2003 12:23 a.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan"
Soyuz-FG | Soyuz TMA-2,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz,Soyuz TMA-2,04/25/2003 11:53 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Pegasus XL | Galaxy Evolution Explorer (GALEX),Launch Successful,Orbital Sciences Corporation,Pegasus XL,—,04/28/2003 8 a.m.,Cape Canaveral | Air launch to orbit
GSLV | GSAT-2,Launch Successful,Indian Space Research Organization,GSLV,—,05/08/2003 7:28 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India"
M-V | Hayabusa,Launch Successful,Institute of Space and Astronautical Science,M-V,Hayabusa,05/09/2003 12:29 a.m.,"Mu Center | Uchinoura Space Center, Japan"
Atlas V 401 | Hellas Sat 2,Launch Successful,Lockheed Martin,Atlas V 401,Hellas Sat 2,05/13/2003 6:10 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA"
Long March 3A | Beidou Daohang Shiyan Wei. 3,Launch Successful,China Aerospace Science and Technology Corporation,Long March 3A,Beidou Daohang Shiyan Wei. 3,05/24/2003 12:34 p.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China"
Soyuz-FG | Mars Express,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz-FG,Mars Express,06/02/2003 1:45 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos-3M | Parus 94,Launch Successful,Production Corporation Polyot,Kosmos-3M,Parus 94,06/04/2003 3:23 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation"
Proton-K/Briz-M | AMC 9,Launch Successful,Khrunichev State Research and Production Space Center,Proton-K/Briz-M,AMC 9,06/06/2003 6:15 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Soyuz U | Progress M1-10,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz U,—,06/08/2003 6:34 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Zenit | Thuraya 2,Launch Successful,Sea Launch,Zenit,Thuraya 2,06/10/2003 9:55 a.m.,Launch Platform Odyssey | Sea Launch
Delta II | Spirit Rover,Launch Successful,United States Air Force,Delta II,Spirit Rover,06/10/2003 1:58 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Ariane 5 G | Optus and Defence C1 & BSAT-2c,Launch Successful,Arianespace,Ariane 5 G,Optus and Defence C1 & BSAT-2c,06/11/2003 6:38 p.m.,"Ariane Launch Area 3 | Guiana Space Centre, French Guiana"
Molniya-M | Molniya-3 65L,Launch Successful,Progress Rocket Space Center,Molniya-M,Molniya-3 65L,06/19/2003 4 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation"
Pegasus XL | OrbView-3,Launch Successful,Orbital Sciences Corporation,Pegasus XL,—,06/26/2003 2:55 p.m.,Vandenberg Space Force Base | Air launch to orbit
Rokot / Briz-KM | Mimosa,Launch Successful,Eurockot Launch Services,Rokot/Briz-KM,Mimosa,06/30/2003 10:15 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation"
Delta II | Opportunity Rover,Launch Successful,United States Air Force,Delta II,Opportunity Rover,07/07/2003 11:18 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Atlas V 521 | Rainbow 1,Launch Successful,Lockheed Martin,Atlas V 521,Rainbow 1,07/17/2003 7:45 p.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA"
Zenit | Echostar IX,Launch Successful,Sea Launch,Zenit,Echostar IX,08/07/2003 11:30 p.m.,Launch Platform Odyssey | Sea Launch
Soyuz-U-PVB | Orlets-1 7,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz-U-PVB,Orlets-1 7,08/12/2003 10:20 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Pegasus XL | SCISAT-1,Launch Successful,Orbital Sciences Corporation,Pegasus XL,—,08/12/2003 10:09 p.m.,Vandenberg Space Force Base | Air launch to orbit
Kosmos-3M | Strela-3 133 & 134,Launch Successful,Production Corporation Polyot,Kosmos-3M,Strela-3 133 & 134,08/19/2003 6:50 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation"
Delta II | Spitzer Space Telescope,Launch Successful,United States Air Force,Delta II,Spitzer Space Telescope,08/25/2003 1:35 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Soyuz U | Progress M-48,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz U,—,08/28/2003 9:47 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Delta IV M | DSCS III B-6,Launch Successful,United States Air Force,Delta IV M,DSCS III B-6,08/29/2003 7:13 p.m.,"Space Launch Complex 37B | Cape Canaveral, FL, USA"
Titan IVB | NROL-19,Launch Successful,United States Air Force,Titan IVB,NROL-19 (Orion 5),09/09/2003 12:29 a.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Kaituozhe-1 | Hangtian Tsinghua 1-02,Launch Failure,China Aerospace Science and Technology Corporation,Kaituozhe-1,Hangtian Tsinghua 1-02,09/16/2003 6:30 a.m.,"Kaituozhe Launch Pad | Taiyuan Satellite Launch Center, People's Republic of China"
Kosmos-3M | Mozhaets-4,Launch Successful,Production Corporation Polyot,Kosmos-3M,Mozhaets-4,09/27/2003 2:11 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation"
"Ariane 5 G | INSAT-3E, eBird 1, SMART-1",Launch Successful,Arianespace,Ariane 5 G,INSAT-3A,09/27/2003 7:14 p.m.,"Ariane Launch Area 3 | Guiana Space Centre, French Guiana"
Zenit | Galaxy 13,Launch Successful,Sea Launch,Zenit,Galaxy 13,10/01/2003 12:02 a.m.,Launch Platform Odyssey | Sea Launch
Long March 2F | Shenzhou-5,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2F,Shenzhou-5,10/14/2003 9 p.m.,"Launch Area 4 (SLS-1 / 921) | Jiuquan Satellite Launch Center, People's Republic of China"
PSLV | Resourcesat,Launch Successful,Indian Space Research Organization,PSLV,Resourcesat,10/17/2003 12:52 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India"
Soyuz-FG | Soyuz TMA-3,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz,Soyuz TMA-3,10/18/2003 1:38 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Titan II SLV | DMSP F-16,Launch Successful,United States Air Force,Titan II SLV,DMSP F-16,10/18/2003 12:17 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Long March 4B | Zi Yuan 1-2,Launch Successful,China Aerospace Science and Technology Corporation,Long March 4B,Zi Yuan 1-2,10/20/2003 11:16 p.m.,"Launch Complex 7 | Taiyuan Satellite Launch Center, People's Republic of China"
Rokot / Briz-KM | SERVIS-1,Launch Successful,Eurockot Launch Services,Rokot/Briz-KM,SERVIS-1,10/30/2003 8:43 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation"
Long March 2D | Fanhui Shi Weixing (18),Launch Successful,China Aerospace Science and Technology Corporation,Long March 2D,Fanhui Shi Weixing (18),11/03/2003 2:20 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China"
Long March 3A | Zhongxing 20,Launch Successful,China Aerospace Science and Technology Corporation,Long March 3A,Zhongxing 20,11/14/2003 11:01 a.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China"
Proton-K/DM-2M | Yamal-202,Launch Successful,Khrunichev State Research and Production Space Center,Proton-K/DM-2M,Yamal-202,11/24/2003 1:22 a.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan"
H-IIA 2024 | IGS Radar (2) & IGS Optical (2),Launch Failure,Japan Aerospace Exploration Agency,H-IIA 2024,IGS Radar (2) & IGS Optical (2),11/28/2003 11:33 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan"
Atlas IIAS | NROL-18,Launch Successful,Lockheed Martin,Atlas IIAS,NROL-18 (Intruder 6A & 6B),12/02/2003 5:04 a.m.,"Space Launch Complex 3E | Vandenberg SFB, CA, USA"
Strela | Gruzomaket,Launch Successful,Khrunichev State Research and Production Space Center,Strela,Gruzomaket,12/05/2003 1 a.m.,"175/59 | Baikonur Cosmodrome, Republic of Kazakhstan"
"Proton-K/Briz-M | Uragan 83, 84 & Uragan-M 2",Launch Successful,Khrunichev State Research and Production Space Center,Proton-K/Briz-M,"Uragan 83, 84 & Uragan-M 2",12/10/2003 12:42 p.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas | UHF F/O F11,Launch Successful,Lockheed Martin,Atlas IIIB,UHF F/O F11,12/17/2003 9:30 p.m.,"Launch Complex 36B | Cape Canaveral, FL, USA"
Delta II | GPS IIR-10,Launch Successful,United States Air Force,Delta II,GPS IIR-10,12/21/2003 3:05 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Soyuz-FG | Amos 2,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz-FG,Amos 2,12/27/2003 4:30 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Proton-K/DM-2M | Ekspress AM-22,Launch Successful,Khrunichev State Research and Production Space Center,Proton-K/DM-2M,Ekspress AM-22,12/28/2003 6 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Long March 2C/SM | Tan Ce 1,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2C/SM,Tan Ce 1,12/29/2003 2:06 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China"
Zenit | Estrela do Sul 1,Launch Successful,Sea Launch,Zenit,Estrela do Sul 1,01/10/2004 11:12 p.m.,Launch Platform Odyssey | Sea Launch
Soyuz U | Progress M1-11,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz U,—,01/29/2004 6:58 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas IIAS | AMC 10,Launch Successful,Lockheed Martin,Atlas IIAS,AMC 10,02/05/2004 6:46 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA"
Titan 402B IUS | DSP 22,Launch Successful,United States Air Force,Titan 402B IUS,DSP 22,02/14/2004 1:50 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Molniya-M | Molniya-1T 93,Launch Successful,Progress Rocket Space Center,Molniya-M,Molniya-1T 93,02/18/2004 2:05 a.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation"
Ariane 5 G+ | Rosetta,Launch Successful,Arianespace,Ariane 5 G+,Rosetta,03/02/2004 2:17 a.m.,"Ariane Launch Area 3 | Guiana Space Centre, French Guiana"
Atlas Agena B | MBSAT,Launch Successful,Lockheed Martin,Atlas IIIA,MBSAT,03/13/2004 12:40 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA"
Proton-M | Eutelsat W3A,Launch Successful,Khrunichev State Research and Production Space Center,Proton-M,Eutelsat W3A,03/15/2004 6:06 p.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan"
Delta II | GPS IIR-11,Launch Successful,United States Air Force,Delta II,GPS IIR-11,03/20/2004 12:53 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Proton | Raduga-1 7,Launch Successful,Khrunichev State Research and Production Space Center,Proton,Raduga-1 7,03/26/2004 10:30 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas IIAS | Superbird A2,Launch Successful,Lockheed Martin,Atlas IIAS,Superbird A2,04/15/2004 8:45 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA"
Long March 2C | Shiyan Weixing 1,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2,Shiyan Weixing 1,04/18/2004 11:59 a.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China"
Soyuz-FG | Soyuz TMA-4,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz,Soyuz TMA-4,04/18/2004 11:19 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Delta II | Gravity Probe B,Launch Successful,United States Air Force,Delta II,Gravity Probe B,04/20/2004 12:57 p.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA"
Proton-K/DM-2M | Ekspress AM-11,Launch Successful,Khrunichev State Research and Production Space Center,Proton-K/DM-2M,Ekspress AM-11,04/26/2004 4:37 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Zenit | DirecTV 7S,Launch Successful,Sea Launch,Zenit,DirecTV 7S,05/04/2004 8:42 a.m.,Launch Platform Odyssey | Sea Launch
Atlas IIAS | AMC 11,Launch Successful,Lockheed Martin,Atlas IIAS,AMC 11,05/19/2004 6:22 p.m.,"Launch Complex 36B | Cape Canaveral, FL, USA"
Taurus 3210 | Formosat-2,Launch Successful,Orbital Sciences Corporation,Minotaur-C 3210,Formosat-2,05/20/2004 1:47 p.m.,"Space Launch Complex 576E | Vandenberg SFB, CA, USA"
Soyuz U | Progress M-49,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz U,—,05/25/2004 8:34 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Tsiklon-2 | US-PM 12,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Tsiklon-2,US-PM 12,05/28/2004 2 a.m.,"90/20 | Baikonur Cosmodrome, Republic of Kazakhstan"
Zenit-2 | Tselina-2 22,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Zenit-2,Tselina-2 22,06/09/2004 9:28 p.m.,"45/1 | Baikonur Cosmodrome, Republic of Kazakhstan"
Proton-M Briz-M | INTELSAT 10-02,Launch Successful,Khrunichev State Research and Production Space Center,Proton-M Briz-M,INTELSAT 10-02,06/16/2004 6:27 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Delta II | GPS IIR-12,Launch Successful,United States Air Force,Delta II,GPS IIR-12,06/23/2004 6:54 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Zenit | Telstar 18,Launch Successful,Sea Launch,Zenit,Telstar 18,06/28/2004 11:58 p.m.,Launch Platform Odyssey | Sea Launch
Dnepr | Aprizesat-2,Launch Successful,ISC Kosmotras,Dnepr,Aprizesat-2,06/29/2004 2:30 a.m.,"109/95 | Baikonur Cosmodrome, Republic of Kazakhstan"
Delta 7920-10L | Aura,Launch Successful,United States Air Force,Delta 7920-10L,Aura,07/15/2004 6:01 a.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA"
Ariane 5 G+ | Anik F2,Launch Successful,Arianespace,Ariane 5 G+,Anik F2,07/17/2004 8:44 p.m.,"Ariane Launch Area 3 | Guiana Space Centre, French Guiana"
Kosmos-3M | Parus 95,Launch Successful,Production Corporation Polyot,Kosmos-3M,Parus 95,07/22/2004 1:46 p.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation"
Long March 2C/SM | Tan Ce 2,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2C/SM,Tan Ce 2,07/25/2004 3:05 a.m.,"Launch Complex 7 | Taiyuan Satellite Launch Center, People's Republic of China"
Delta II | Messenger,Launch Successful,United States Air Force,Delta II,Messenger,08/03/2004 2:15 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Proton-M Briz-M | Amazonas-1,Launch Successful,Khrunichev State Research and Production Space Center,Proton-M Briz-M,Amazonas-1,08/04/2004 6:32 p.m.,"200/39 (200L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Soyuz U | Progress M-50,Launch Successful,Russian Federal Space Agency (ROSCOSMOS),Soyuz U,—,08/11/2004 1:03 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Long March 2C | Fanhui Shi Weixing (19),Launch Successful,China Aerospace Science and Technology Corporation,Long March 2,Fanhui Shi Weixing (19),08/29/2004 3:50 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China"
Atlas IIAS | NROL-1,Launch Successful,Lockheed Martin,Atlas IIAS,NROL-1 (Quasar 15),08/31/2004 7:17 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA"
Shavit-2 | Ofeq-6,Launch Failure,Israeli Space Agency,Shavit-2,Ofeq-6,09/06/2004 6:53 a.m.,"Shavit Launch Pad | Palmachim Airbase, State of Israel"
Long March 4B | Shi Jian 6A & 6B,Launch Successful,China Aerospace Science and Technology Corporation,Long March 4B,Shi Jian 6A & 6B,09/08/2004 7:14 p.m.,"Launch Complex 7 | Taiyuan Satellite Launch Center, People's Republic of China"
GSLV | GSAT-3,Launch Successful,Indian Space Research Organization,GSLV,—,09/20/2004 6:31 a.m.,"Satish Dhawan Space Centre First Launch Pad | Satish Dhawan Space Centre, India"
Kosmos-3M | Strela-3 135 to 136,Launch Successful,Production Corporation Polyot,Kosmos-3M,Strela-3 135 to 136,09/23/2004 11:07 a.m.,"132/1 (132L) | Plesetsk Cosmodrome, Russian Federation"
Soyuz-U-PVB | Yantar-4K2M 1,Launch Successful,Russian Space Forces,Soyuz-U-PVB,Yantar-4K2M 1,09/24/2004 12:50 p.m.,"16/2 | Plesetsk Cosmodrome, Russian Federation"
Long March 2D | Fanhui Shi Weixing (20),Launch Successful,China Aerospace Science and Technology Corporation,Long March 2D,Fanhui Shi Weixing (20),09/27/2004 4 a.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China"
